County,0
Co. Meath,-0.5238095238095238
Co. Louth,-0.7636363636363637
Co. Carlow,-0.7674418604651163
Co. Leitrim,-0.7905759162303665
Co. Dublin,-0.8333333333333334
Co. Cavan,-0.9
Co. Galway,-0.9081885856079405
Co. Laois,-0.9097222222222222
Co. Tipperary,-0.9175824175824175
Co. Offaly,-0.9333333333333333
Co. Westmeath,-0.9361702127659575
Co. Longford,-0.9516129032258065
Co. Wicklow,-0.9550561797752809
Co. Kilkenny,-0.9606986899563319
Co. Clare,-0.968609865470852
Co. Monaghan,-0.9714285714285714
Co. Mayo,-0.9751243781094527
Co. Sligo,-0.975609756097561
Co. Donegal,-0.9813084112149533
Co. Kerry,-0.9817850637522769
Co. Limerick,-0.9839142091152815
Co. Kildare,-0.9873417721518988
Co. Waterford,-0.9903225806451613
Co. Cork,-0.9921875
Co. Roscommon,-0.9967637540453075
Co. Wexford,-1.0
