County,VALUE
Co. Donegal,1.462974398986523
Co. Wexford,1.2419725665864674
Co. Waterford,1.2009382473184103
Co. Kilkenny,1.162031123824092
Co. Tipperary,1.1324488292853725
Co. Kildare,1.1301073947226636
Co. Limerick,1.122378990623191
Co. Sligo,1.1044224137238614
Co. Dublin,1.0858994831337903
Co. Offaly,1.0701418662137714
Co. Meath,1.0588728428621177
Co. Laois,1.0290685703257874
Co. Carlow,1.024356808739381
Co. Cork,1.0076123640138654
Co. Monaghan,1.0029636344559545
Co. Mayo,0.994951818987203
Co. Longford,0.9889928826862283
Co. Leitrim,0.9800644261738379
Co. Kerry,0.9797859399676863
Co. Clare,0.9633667104335969
Co. Wicklow,0.9596353584175401
Co. Louth,0.946597792252924
Co. Roscommon,0.9447676138258473
Co. Galway,0.9372229735268279
Co. Westmeath,0.9056147066980259
Co. Cavan,0.8759494852510747
