County,VALUE
Co. Cork,1157.0
Co. Kerry,736.0
Co. Clare,695.0
Co. Galway,561.0
Co. Mayo,548.0
Co. Tipperary,546.0
Co. Leitrim,536.0
Co. Kilkenny,523.0
Co. Roscommon,449.0
Co. Limerick,441.0
Co. Wexford,426.0
Co. Cavan,425.0
Co. Sligo,382.0
Co. Offaly,324.0
Co. Donegal,321.0
Co. Waterford,310.0
Co. Longford,286.0
Co. Westmeath,281.0
Co. Meath,252.0
Co. Wicklow,251.0
Co. Kildare,220.0
Co. Laois,198.0
Co. Monaghan,140.0
Co. Carlow,100.0
Co. Louth,65.0
Co. Dublin,35.0
