Statistic Label,Year,County,Species,Forest Owner,UNIT,VALUE
Afforestation Area,2010,Co. Limerick,Total Afforestation,Total Afforestation,Hectares,411.0
Afforestation Area,2010,Co. Limerick,Total Afforestation,Farmer,Hectares,370.0
Afforestation Area,2010,Co. Limerick,Total Afforestation,Non-Farmer,Hectares,41.0
Afforestation Area,2010,Co. Limerick,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2010,Co. Limerick,Broadleaf,Total Afforestation,Hectares,111.0
Afforestation Area,2010,Co. Limerick,Broadleaf,Farmer,Hectares,105.0
Afforestation Area,2010,Co. Limerick,Broadleaf,Non-Farmer,Hectares,5.0
Afforestation Area,2010,Co. Limerick,Broadleaf,Public Sector,Hectares,
Afforestation Area,2010,Co. Limerick,Conifer,Total Afforestation,Hectares,300.0
Afforestation Area,2010,Co. Limerick,Conifer,Farmer,Hectares,265.0
Afforestation Area,2010,Co. Limerick,Conifer,Non-Farmer,Hectares,35.0
Afforestation Area,2010,Co. Limerick,Conifer,Public Sector,Hectares,
Afforestation Area,2010,Co. Longford,Total Afforestation,Total Afforestation,Hectares,243.0
Afforestation Area,2010,Co. Longford,Total Afforestation,Farmer,Hectares,230.0
Afforestation Area,2010,Co. Longford,Total Afforestation,Non-Farmer,Hectares,13.0
Afforestation Area,2010,Co. Longford,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2010,Co. Longford,Broadleaf,Total Afforestation,Hectares,80.0
Afforestation Area,2010,Co. Longford,Broadleaf,Farmer,Hectares,74.0
Afforestation Area,2010,Co. Longford,Broadleaf,Non-Farmer,Hectares,6.0
Afforestation Area,2010,Co. Longford,Broadleaf,Public Sector,Hectares,
Afforestation Area,2010,Co. Longford,Conifer,Total Afforestation,Hectares,162.0
Afforestation Area,2010,Co. Longford,Conifer,Farmer,Hectares,155.0
Afforestation Area,2010,Co. Longford,Conifer,Non-Farmer,Hectares,7.0
Afforestation Area,2010,Co. Longford,Conifer,Public Sector,Hectares,
Afforestation Area,2010,Co. Louth,Total Afforestation,Total Afforestation,Hectares,46.0
Afforestation Area,2010,Co. Louth,Total Afforestation,Farmer,Hectares,46.0
Afforestation Area,2010,Co. Louth,Total Afforestation,Non-Farmer,Hectares,
Afforestation Area,2010,Co. Louth,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2010,Co. Louth,Broadleaf,Total Afforestation,Hectares,29.0
Afforestation Area,2010,Co. Louth,Broadleaf,Farmer,Hectares,29.0
Afforestation Area,2010,Co. Louth,Broadleaf,Non-Farmer,Hectares,
Afforestation Area,2010,Co. Louth,Broadleaf,Public Sector,Hectares,
Afforestation Area,2010,Co. Louth,Conifer,Total Afforestation,Hectares,18.0
Afforestation Area,2010,Co. Louth,Conifer,Farmer,Hectares,18.0
Afforestation Area,2010,Co. Louth,Conifer,Non-Farmer,Hectares,
Afforestation Area,2010,Co. Louth,Conifer,Public Sector,Hectares,
Afforestation Area,2010,Co. Mayo,Total Afforestation,Total Afforestation,Hectares,548.0
Afforestation Area,2010,Co. Mayo,Total Afforestation,Farmer,Hectares,505.0
Afforestation Area,2010,Co. Mayo,Total Afforestation,Non-Farmer,Hectares,39.0
Afforestation Area,2010,Co. Mayo,Total Afforestation,Public Sector,Hectares,4.0
Afforestation Area,2010,Co. Mayo,Broadleaf,Total Afforestation,Hectares,129.0
Afforestation Area,2010,Co. Mayo,Broadleaf,Farmer,Hectares,108.0
Afforestation Area,2010,Co. Mayo,Broadleaf,Non-Farmer,Hectares,19.0
Afforestation Area,2010,Co. Mayo,Broadleaf,Public Sector,Hectares,1.0
Afforestation Area,2010,Co. Mayo,Conifer,Total Afforestation,Hectares,419.0
Afforestation Area,2010,Co. Mayo,Conifer,Farmer,Hectares,397.0
Afforestation Area,2010,Co. Mayo,Conifer,Non-Farmer,Hectares,19.0
Afforestation Area,2010,Co. Mayo,Conifer,Public Sector,Hectares,3.0
Afforestation Area,2010,Co. Meath,Total Afforestation,Total Afforestation,Hectares,252.0
Afforestation Area,2010,Co. Meath,Total Afforestation,Farmer,Hectares,240.0
Afforestation Area,2010,Co. Meath,Total Afforestation,Non-Farmer,Hectares,11.0
Afforestation Area,2010,Co. Meath,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2010,Co. Meath,Broadleaf,Total Afforestation,Hectares,178.0
Afforestation Area,2010,Co. Meath,Broadleaf,Farmer,Hectares,174.0
Afforestation Area,2010,Co. Meath,Broadleaf,Non-Farmer,Hectares,5.0
Afforestation Area,2010,Co. Meath,Broadleaf,Public Sector,Hectares,
Afforestation Area,2010,Co. Meath,Conifer,Total Afforestation,Hectares,74.0
Afforestation Area,2010,Co. Meath,Conifer,Farmer,Hectares,67.0
Afforestation Area,2010,Co. Meath,Conifer,Non-Farmer,Hectares,7.0
Afforestation Area,2010,Co. Meath,Conifer,Public Sector,Hectares,
Afforestation Area,2010,Co. Monaghan,Total Afforestation,Total Afforestation,Hectares,140.0
Afforestation Area,2010,Co. Monaghan,Total Afforestation,Farmer,Hectares,135.0
Afforestation Area,2010,Co. Monaghan,Total Afforestation,Non-Farmer,Hectares,5.0
Afforestation Area,2010,Co. Monaghan,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2010,Co. Monaghan,Broadleaf,Total Afforestation,Hectares,61.0
Afforestation Area,2010,Co. Monaghan,Broadleaf,Farmer,Hectares,57.0
Afforestation Area,2010,Co. Monaghan,Broadleaf,Non-Farmer,Hectares,4.0
Afforestation Area,2010,Co. Monaghan,Broadleaf,Public Sector,Hectares,
Afforestation Area,2010,Co. Monaghan,Conifer,Total Afforestation,Hectares,79.0
Afforestation Area,2010,Co. Monaghan,Conifer,Farmer,Hectares,78.0
Afforestation Area,2010,Co. Monaghan,Conifer,Non-Farmer,Hectares,1.0
Afforestation Area,2010,Co. Monaghan,Conifer,Public Sector,Hectares,
Afforestation Area,2010,Co. Offaly,Total Afforestation,Total Afforestation,Hectares,279.0
Afforestation Area,2010,Co. Offaly,Total Afforestation,Farmer,Hectares,264.0
Afforestation Area,2010,Co. Offaly,Total Afforestation,Non-Farmer,Hectares,15.0
Afforestation Area,2010,Co. Offaly,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2010,Co. Offaly,Broadleaf,Total Afforestation,Hectares,129.0
Afforestation Area,2010,Co. Offaly,Broadleaf,Farmer,Hectares,123.0
Afforestation Area,2010,Co. Offaly,Broadleaf,Non-Farmer,Hectares,6.0
Afforestation Area,2010,Co. Offaly,Broadleaf,Public Sector,Hectares,
Afforestation Area,2010,Co. Offaly,Conifer,Total Afforestation,Hectares,150.0
Afforestation Area,2010,Co. Offaly,Conifer,Farmer,Hectares,141.0
Afforestation Area,2010,Co. Offaly,Conifer,Non-Farmer,Hectares,9.0
Afforestation Area,2010,Co. Offaly,Conifer,Public Sector,Hectares,
Afforestation Area,2010,Co. Roscommon,Total Afforestation,Total Afforestation,Hectares,360.0
Afforestation Area,2010,Co. Roscommon,Total Afforestation,Farmer,Hectares,343.0
Afforestation Area,2010,Co. Roscommon,Total Afforestation,Non-Farmer,Hectares,18.0
Afforestation Area,2010,Co. Roscommon,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2010,Co. Roscommon,Broadleaf,Total Afforestation,Hectares,84.0
Afforestation Area,2010,Co. Roscommon,Broadleaf,Farmer,Hectares,79.0
Afforestation Area,2010,Co. Roscommon,Broadleaf,Non-Farmer,Hectares,5.0
Afforestation Area,2010,Co. Roscommon,Broadleaf,Public Sector,Hectares,
Afforestation Area,2010,Co. Roscommon,Conifer,Total Afforestation,Hectares,276.0
Afforestation Area,2010,Co. Roscommon,Conifer,Farmer,Hectares,263.0
Afforestation Area,2010,Co. Roscommon,Conifer,Non-Farmer,Hectares,13.0
Afforestation Area,2010,Co. Roscommon,Conifer,Public Sector,Hectares,
Afforestation Area,2010,Co. Sligo,Total Afforestation,Total Afforestation,Hectares,82.0
Afforestation Area,2010,Co. Sligo,Total Afforestation,Farmer,Hectares,81.0
Afforestation Area,2010,Co. Sligo,Total Afforestation,Non-Farmer,Hectares,1.0
Afforestation Area,2010,Co. Sligo,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2010,Co. Sligo,Broadleaf,Total Afforestation,Hectares,16.0
Afforestation Area,2010,Co. Sligo,Broadleaf,Farmer,Hectares,15.0
Afforestation Area,2010,Co. Sligo,Broadleaf,Non-Farmer,Hectares,1.0
Afforestation Area,2010,Co. Sligo,Broadleaf,Public Sector,Hectares,
Afforestation Area,2010,Co. Sligo,Conifer,Total Afforestation,Hectares,65.0
Afforestation Area,2010,Co. Sligo,Conifer,Farmer,Hectares,65.0
Afforestation Area,2010,Co. Sligo,Conifer,Non-Farmer,Hectares,
Afforestation Area,2010,Co. Sligo,Conifer,Public Sector,Hectares,
Afforestation Area,2010,Co. Tipperary,Total Afforestation,Total Afforestation,Hectares,532.0
Afforestation Area,2010,Co. Tipperary,Total Afforestation,Farmer,Hectares,522.0
Afforestation Area,2010,Co. Tipperary,Total Afforestation,Non-Farmer,Hectares,10.0
Afforestation Area,2010,Co. Tipperary,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2010,Co. Tipperary,Broadleaf,Total Afforestation,Hectares,203.0
Afforestation Area,2010,Co. Tipperary,Broadleaf,Farmer,Hectares,201.0
Afforestation Area,2010,Co. Tipperary,Broadleaf,Non-Farmer,Hectares,2.0
Afforestation Area,2010,Co. Tipperary,Broadleaf,Public Sector,Hectares,
Afforestation Area,2010,Co. Tipperary,Conifer,Total Afforestation,Hectares,329.0
Afforestation Area,2010,Co. Tipperary,Conifer,Farmer,Hectares,321.0
Afforestation Area,2010,Co. Tipperary,Conifer,Non-Farmer,Hectares,8.0
Afforestation Area,2010,Co. Tipperary,Conifer,Public Sector,Hectares,
Afforestation Area,2010,Co. Waterford,Total Afforestation,Total Afforestation,Hectares,264.0
Afforestation Area,2010,Co. Waterford,Total Afforestation,Farmer,Hectares,249.0
Afforestation Area,2010,Co. Waterford,Total Afforestation,Non-Farmer,Hectares,15.0
Afforestation Area,2010,Co. Waterford,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2010,Co. Waterford,Broadleaf,Total Afforestation,Hectares,97.0
Afforestation Area,2010,Co. Waterford,Broadleaf,Farmer,Hectares,85.0
Afforestation Area,2010,Co. Waterford,Broadleaf,Non-Farmer,Hectares,12.0
Afforestation Area,2010,Co. Waterford,Broadleaf,Public Sector,Hectares,
Afforestation Area,2010,Co. Waterford,Conifer,Total Afforestation,Hectares,168.0
Afforestation Area,2010,Co. Waterford,Conifer,Farmer,Hectares,164.0
Afforestation Area,2010,Co. Waterford,Conifer,Non-Farmer,Hectares,3.0
Afforestation Area,2010,Co. Waterford,Conifer,Public Sector,Hectares,
Afforestation Area,2010,Co. Westmeath,Total Afforestation,Total Afforestation,Hectares,203.0
Afforestation Area,2010,Co. Westmeath,Total Afforestation,Farmer,Hectares,199.0
Afforestation Area,2010,Co. Westmeath,Total Afforestation,Non-Farmer,Hectares,3.0
Afforestation Area,2010,Co. Westmeath,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2010,Co. Westmeath,Broadleaf,Total Afforestation,Hectares,84.0
Afforestation Area,2010,Co. Westmeath,Broadleaf,Farmer,Hectares,82.0
Afforestation Area,2010,Co. Westmeath,Broadleaf,Non-Farmer,Hectares,1.0
Afforestation Area,2010,Co. Westmeath,Broadleaf,Public Sector,Hectares,
Afforestation Area,2010,Co. Westmeath,Conifer,Total Afforestation,Hectares,119.0
Afforestation Area,2010,Co. Westmeath,Conifer,Farmer,Hectares,117.0
Afforestation Area,2010,Co. Westmeath,Conifer,Non-Farmer,Hectares,2.0
Afforestation Area,2010,Co. Westmeath,Conifer,Public Sector,Hectares,
Afforestation Area,2010,Co. Wexford,Total Afforestation,Total Afforestation,Hectares,426.0
Afforestation Area,2010,Co. Wexford,Total Afforestation,Farmer,Hectares,426.0
Afforestation Area,2010,Co. Wexford,Total Afforestation,Non-Farmer,Hectares,
Afforestation Area,2010,Co. Wexford,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2010,Co. Wexford,Broadleaf,Total Afforestation,Hectares,188.0
Afforestation Area,2010,Co. Wexford,Broadleaf,Farmer,Hectares,188.0
Afforestation Area,2010,Co. Wexford,Broadleaf,Non-Farmer,Hectares,
Afforestation Area,2010,Co. Wexford,Broadleaf,Public Sector,Hectares,
Afforestation Area,2010,Co. Wexford,Conifer,Total Afforestation,Hectares,239.0
Afforestation Area,2010,Co. Wexford,Conifer,Farmer,Hectares,239.0
Afforestation Area,2010,Co. Wexford,Conifer,Non-Farmer,Hectares,
Afforestation Area,2010,Co. Wexford,Conifer,Public Sector,Hectares,
Afforestation Area,2010,Co. Wicklow,Total Afforestation,Total Afforestation,Hectares,100.0
Afforestation Area,2010,Co. Wicklow,Total Afforestation,Farmer,Hectares,83.0
Afforestation Area,2010,Co. Wicklow,Total Afforestation,Non-Farmer,Hectares,17.0
Afforestation Area,2010,Co. Wicklow,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2010,Co. Wicklow,Broadleaf,Total Afforestation,Hectares,36.0
Afforestation Area,2010,Co. Wicklow,Broadleaf,Farmer,Hectares,27.0
Afforestation Area,2010,Co. Wicklow,Broadleaf,Non-Farmer,Hectares,9.0
Afforestation Area,2010,Co. Wicklow,Broadleaf,Public Sector,Hectares,
Afforestation Area,2010,Co. Wicklow,Conifer,Total Afforestation,Hectares,63.0
Afforestation Area,2010,Co. Wicklow,Conifer,Farmer,Hectares,56.0
Afforestation Area,2010,Co. Wicklow,Conifer,Non-Farmer,Hectares,8.0
Afforestation Area,2010,Co. Wicklow,Conifer,Public Sector,Hectares,
Afforestation Area,2010,Ireland,Total Afforestation,Total Afforestation,Hectares,8314.0
Afforestation Area,2010,Ireland,Total Afforestation,Farmer,Hectares,7929.0
Afforestation Area,2010,Ireland,Total Afforestation,Non-Farmer,Hectares,381.0
Afforestation Area,2010,Ireland,Total Afforestation,Public Sector,Hectares,4.0
Afforestation Area,2010,Ireland,Broadleaf,Total Afforestation,Hectares,3149.0
Afforestation Area,2010,Ireland,Broadleaf,Farmer,Hectares,3001.0
Afforestation Area,2010,Ireland,Broadleaf,Non-Farmer,Hectares,147.0
Afforestation Area,2010,Ireland,Broadleaf,Public Sector,Hectares,1.0
Afforestation Area,2010,Ireland,Conifer,Total Afforestation,Hectares,5165.0
Afforestation Area,2010,Ireland,Conifer,Farmer,Hectares,4928.0
Afforestation Area,2010,Ireland,Conifer,Non-Farmer,Hectares,234.0
Afforestation Area,2010,Ireland,Conifer,Public Sector,Hectares,3.0
Afforestation Area,2011,Co. Carlow,Total Afforestation,Total Afforestation,Hectares,21.0
Afforestation Area,2011,Co. Carlow,Total Afforestation,Farmer,Hectares,19.0
Afforestation Area,2011,Co. Carlow,Total Afforestation,Non-Farmer,Hectares,2.0
Afforestation Area,2011,Co. Carlow,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2011,Co. Carlow,Broadleaf,Total Afforestation,Hectares,4.0
Afforestation Area,2011,Co. Carlow,Broadleaf,Farmer,Hectares,3.0
Afforestation Area,2011,Co. Carlow,Broadleaf,Non-Farmer,Hectares,2.0
Afforestation Area,2011,Co. Carlow,Broadleaf,Public Sector,Hectares,
Afforestation Area,2011,Co. Carlow,Conifer,Total Afforestation,Hectares,17.0
Afforestation Area,2011,Co. Carlow,Conifer,Farmer,Hectares,17.0
Afforestation Area,2011,Co. Carlow,Conifer,Non-Farmer,Hectares,
Afforestation Area,2011,Co. Carlow,Conifer,Public Sector,Hectares,
Afforestation Area,2011,Co. Cavan,Total Afforestation,Total Afforestation,Hectares,204.0
Afforestation Area,2011,Co. Cavan,Total Afforestation,Farmer,Hectares,187.0
Afforestation Area,2011,Co. Cavan,Total Afforestation,Non-Farmer,Hectares,17.0
Afforestation Area,2011,Co. Cavan,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2011,Co. Cavan,Broadleaf,Total Afforestation,Hectares,75.0
Afforestation Area,2011,Co. Cavan,Broadleaf,Farmer,Hectares,71.0
Afforestation Area,2011,Co. Cavan,Broadleaf,Non-Farmer,Hectares,5.0
Afforestation Area,2011,Co. Cavan,Broadleaf,Public Sector,Hectares,
Afforestation Area,2011,Co. Cavan,Conifer,Total Afforestation,Hectares,129.0
Afforestation Area,2011,Co. Cavan,Conifer,Farmer,Hectares,116.0
Afforestation Area,2011,Co. Cavan,Conifer,Non-Farmer,Hectares,13.0
Afforestation Area,2011,Co. Cavan,Conifer,Public Sector,Hectares,
Afforestation Area,2011,Co. Clare,Total Afforestation,Total Afforestation,Hectares,484.0
Afforestation Area,2011,Co. Clare,Total Afforestation,Farmer,Hectares,451.0
Afforestation Area,2011,Co. Clare,Total Afforestation,Non-Farmer,Hectares,33.0
Afforestation Area,2011,Co. Clare,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2011,Co. Clare,Broadleaf,Total Afforestation,Hectares,154.0
Afforestation Area,2011,Co. Clare,Broadleaf,Farmer,Hectares,149.0
Afforestation Area,2011,Co. Clare,Broadleaf,Non-Farmer,Hectares,5.0
Afforestation Area,2011,Co. Clare,Broadleaf,Public Sector,Hectares,
Afforestation Area,2011,Co. Clare,Conifer,Total Afforestation,Hectares,331.0
Afforestation Area,2011,Co. Clare,Conifer,Farmer,Hectares,303.0
Afforestation Area,2011,Co. Clare,Conifer,Non-Farmer,Hectares,28.0
Afforestation Area,2011,Co. Clare,Conifer,Public Sector,Hectares,
Afforestation Area,2011,Co. Cork,Total Afforestation,Total Afforestation,Hectares,1035.0
Afforestation Area,2011,Co. Cork,Total Afforestation,Farmer,Hectares,997.0
Afforestation Area,2011,Co. Cork,Total Afforestation,Non-Farmer,Hectares,39.0
Afforestation Area,2011,Co. Cork,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2011,Co. Cork,Broadleaf,Total Afforestation,Hectares,469.0
Afforestation Area,2011,Co. Cork,Broadleaf,Farmer,Hectares,443.0
Afforestation Area,2011,Co. Cork,Broadleaf,Non-Farmer,Hectares,26.0
Afforestation Area,2011,Co. Cork,Broadleaf,Public Sector,Hectares,
Afforestation Area,2011,Co. Cork,Conifer,Total Afforestation,Hectares,566.0
Afforestation Area,2011,Co. Cork,Conifer,Farmer,Hectares,554.0
Afforestation Area,2011,Co. Cork,Conifer,Non-Farmer,Hectares,13.0
Afforestation Area,2011,Co. Cork,Conifer,Public Sector,Hectares,
Afforestation Area,2011,Co. Donegal,Total Afforestation,Total Afforestation,Hectares,59.0
Afforestation Area,2011,Co. Donegal,Total Afforestation,Farmer,Hectares,31.0
Afforestation Area,2011,Co. Donegal,Total Afforestation,Non-Farmer,Hectares,29.0
Afforestation Area,2011,Co. Donegal,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2011,Co. Donegal,Broadleaf,Total Afforestation,Hectares,23.0
Afforestation Area,2011,Co. Donegal,Broadleaf,Farmer,Hectares,8.0
Afforestation Area,2011,Co. Donegal,Broadleaf,Non-Farmer,Hectares,15.0
Afforestation Area,2011,Co. Donegal,Broadleaf,Public Sector,Hectares,
Afforestation Area,2011,Co. Donegal,Conifer,Total Afforestation,Hectares,37.0
Afforestation Area,2011,Co. Donegal,Conifer,Farmer,Hectares,23.0
Afforestation Area,2011,Co. Donegal,Conifer,Non-Farmer,Hectares,14.0
Afforestation Area,2011,Co. Donegal,Conifer,Public Sector,Hectares,
Afforestation Area,2011,Co. Dublin,Total Afforestation,Total Afforestation,Hectares,1.0
Afforestation Area,2011,Co. Dublin,Total Afforestation,Farmer,Hectares,1.0
Afforestation Area,2011,Co. Dublin,Total Afforestation,Non-Farmer,Hectares,
Afforestation Area,2011,Co. Dublin,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2011,Co. Dublin,Broadleaf,Total Afforestation,Hectares,1.0
Afforestation Area,2011,Co. Dublin,Broadleaf,Farmer,Hectares,1.0
Afforestation Area,2011,Co. Dublin,Broadleaf,Non-Farmer,Hectares,
Afforestation Area,2011,Co. Dublin,Broadleaf,Public Sector,Hectares,
Afforestation Area,2011,Co. Dublin,Conifer,Total Afforestation,Hectares,
Afforestation Area,2011,Co. Dublin,Conifer,Farmer,Hectares,
Afforestation Area,2011,Co. Dublin,Conifer,Non-Farmer,Hectares,
Afforestation Area,2011,Co. Dublin,Conifer,Public Sector,Hectares,
Afforestation Area,2011,Co. Galway,Total Afforestation,Total Afforestation,Hectares,300.0
Afforestation Area,2011,Co. Galway,Total Afforestation,Farmer,Hectares,291.0
Afforestation Area,2011,Co. Galway,Total Afforestation,Non-Farmer,Hectares,9.0
Afforestation Area,2011,Co. Galway,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2011,Co. Galway,Broadleaf,Total Afforestation,Hectares,128.0
Afforestation Area,2011,Co. Galway,Broadleaf,Farmer,Hectares,127.0
Afforestation Area,2011,Co. Galway,Broadleaf,Non-Farmer,Hectares,1.0
Afforestation Area,2011,Co. Galway,Broadleaf,Public Sector,Hectares,
Afforestation Area,2011,Co. Galway,Conifer,Total Afforestation,Hectares,172.0
Afforestation Area,2011,Co. Galway,Conifer,Farmer,Hectares,164.0
Afforestation Area,2011,Co. Galway,Conifer,Non-Farmer,Hectares,7.0
Afforestation Area,2011,Co. Galway,Conifer,Public Sector,Hectares,
Afforestation Area,2011,Co. Kerry,Total Afforestation,Total Afforestation,Hectares,641.0
Afforestation Area,2011,Co. Kerry,Total Afforestation,Farmer,Hectares,612.0
Afforestation Area,2011,Co. Kerry,Total Afforestation,Non-Farmer,Hectares,29.0
Afforestation Area,2011,Co. Kerry,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2011,Co. Kerry,Broadleaf,Total Afforestation,Hectares,224.0
Afforestation Area,2011,Co. Kerry,Broadleaf,Farmer,Hectares,208.0
Afforestation Area,2011,Co. Kerry,Broadleaf,Non-Farmer,Hectares,17.0
Afforestation Area,2011,Co. Kerry,Broadleaf,Public Sector,Hectares,
Afforestation Area,2011,Co. Kerry,Conifer,Total Afforestation,Hectares,417.0
Afforestation Area,2011,Co. Kerry,Conifer,Farmer,Hectares,405.0
Afforestation Area,2011,Co. Kerry,Conifer,Non-Farmer,Hectares,12.0
Afforestation Area,2011,Co. Kerry,Conifer,Public Sector,Hectares,
Afforestation Area,2011,Co. Kildare,Total Afforestation,Total Afforestation,Hectares,141.0
Afforestation Area,2011,Co. Kildare,Total Afforestation,Farmer,Hectares,87.0
Afforestation Area,2011,Co. Kildare,Total Afforestation,Non-Farmer,Hectares,14.0
Afforestation Area,2011,Co. Kildare,Total Afforestation,Public Sector,Hectares,39.0
Afforestation Area,2011,Co. Kildare,Broadleaf,Total Afforestation,Hectares,54.0
Afforestation Area,2011,Co. Kildare,Broadleaf,Farmer,Hectares,44.0
Afforestation Area,2011,Co. Kildare,Broadleaf,Non-Farmer,Hectares,10.0
Afforestation Area,2011,Co. Kildare,Broadleaf,Public Sector,Hectares,
Afforestation Area,2011,Co. Kildare,Conifer,Total Afforestation,Hectares,87.0
Afforestation Area,2011,Co. Kildare,Conifer,Farmer,Hectares,43.0
Afforestation Area,2011,Co. Kildare,Conifer,Non-Farmer,Hectares,5.0
Afforestation Area,2011,Co. Kildare,Conifer,Public Sector,Hectares,39.0
Afforestation Area,2011,Co. Kilkenny,Total Afforestation,Total Afforestation,Hectares,292.0
Afforestation Area,2011,Co. Kilkenny,Total Afforestation,Farmer,Hectares,283.0
Afforestation Area,2011,Co. Kilkenny,Total Afforestation,Non-Farmer,Hectares,9.0
Afforestation Area,2011,Co. Kilkenny,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2011,Co. Kilkenny,Broadleaf,Total Afforestation,Hectares,118.0
Afforestation Area,2011,Co. Kilkenny,Broadleaf,Farmer,Hectares,109.0
Afforestation Area,2011,Co. Kilkenny,Broadleaf,Non-Farmer,Hectares,9.0
Afforestation Area,2011,Co. Kilkenny,Broadleaf,Public Sector,Hectares,
Afforestation Area,2011,Co. Kilkenny,Conifer,Total Afforestation,Hectares,174.0
Afforestation Area,2011,Co. Kilkenny,Conifer,Farmer,Hectares,174.0
Afforestation Area,2011,Co. Kilkenny,Conifer,Non-Farmer,Hectares,
Afforestation Area,2011,Co. Kilkenny,Conifer,Public Sector,Hectares,
Afforestation Area,2011,Co. Laois,Total Afforestation,Total Afforestation,Hectares,95.0
Afforestation Area,2011,Co. Laois,Total Afforestation,Farmer,Hectares,92.0
Afforestation Area,2011,Co. Laois,Total Afforestation,Non-Farmer,Hectares,3.0
Afforestation Area,2011,Co. Laois,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2011,Co. Laois,Broadleaf,Total Afforestation,Hectares,44.0
Afforestation Area,2011,Co. Laois,Broadleaf,Farmer,Hectares,42.0
Afforestation Area,2011,Co. Laois,Broadleaf,Non-Farmer,Hectares,1.0
Afforestation Area,2011,Co. Laois,Broadleaf,Public Sector,Hectares,
Afforestation Area,2011,Co. Laois,Conifer,Total Afforestation,Hectares,51.0
Afforestation Area,2011,Co. Laois,Conifer,Farmer,Hectares,49.0
Afforestation Area,2011,Co. Laois,Conifer,Non-Farmer,Hectares,2.0
Afforestation Area,2011,Co. Laois,Conifer,Public Sector,Hectares,
Afforestation Area,2011,Co. Leitrim,Total Afforestation,Total Afforestation,Hectares,325.0
Afforestation Area,2011,Co. Leitrim,Total Afforestation,Farmer,Hectares,325.0
Afforestation Area,2011,Co. Leitrim,Total Afforestation,Non-Farmer,Hectares,
Afforestation Area,2011,Co. Leitrim,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2011,Co. Leitrim,Broadleaf,Total Afforestation,Hectares,115.0
Afforestation Area,2011,Co. Leitrim,Broadleaf,Farmer,Hectares,115.0
Afforestation Area,2011,Co. Leitrim,Broadleaf,Non-Farmer,Hectares,
Afforestation Area,2011,Co. Leitrim,Broadleaf,Public Sector,Hectares,
Afforestation Area,2011,Co. Leitrim,Conifer,Total Afforestation,Hectares,210.0
Afforestation Area,2011,Co. Leitrim,Conifer,Farmer,Hectares,210.0
Afforestation Area,2011,Co. Leitrim,Conifer,Non-Farmer,Hectares,
Afforestation Area,2011,Co. Leitrim,Conifer,Public Sector,Hectares,
Afforestation Area,2011,Co. Limerick,Total Afforestation,Total Afforestation,Hectares,381.0
Afforestation Area,2011,Co. Limerick,Total Afforestation,Farmer,Hectares,367.0
Afforestation Area,2011,Co. Limerick,Total Afforestation,Non-Farmer,Hectares,14.0
Afforestation Area,2011,Co. Limerick,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2011,Co. Limerick,Broadleaf,Total Afforestation,Hectares,122.0
Afforestation Area,2011,Co. Limerick,Broadleaf,Farmer,Hectares,119.0
Afforestation Area,2011,Co. Limerick,Broadleaf,Non-Farmer,Hectares,3.0
Afforestation Area,2011,Co. Limerick,Broadleaf,Public Sector,Hectares,
Afforestation Area,2011,Co. Limerick,Conifer,Total Afforestation,Hectares,259.0
Afforestation Area,2011,Co. Limerick,Conifer,Farmer,Hectares,248.0
Afforestation Area,2011,Co. Limerick,Conifer,Non-Farmer,Hectares,11.0
Afforestation Area,2011,Co. Limerick,Conifer,Public Sector,Hectares,
Afforestation Area,2011,Co. Longford,Total Afforestation,Total Afforestation,Hectares,174.0
Afforestation Area,2011,Co. Longford,Total Afforestation,Farmer,Hectares,174.0
Afforestation Area,2011,Co. Longford,Total Afforestation,Non-Farmer,Hectares,
Afforestation Area,2011,Co. Longford,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2011,Co. Longford,Broadleaf,Total Afforestation,Hectares,61.0
Afforestation Area,2011,Co. Longford,Broadleaf,Farmer,Hectares,61.0
Afforestation Area,2011,Co. Longford,Broadleaf,Non-Farmer,Hectares,
Afforestation Area,2011,Co. Longford,Broadleaf,Public Sector,Hectares,
